date,task_name,elapsed_time
2023-05-31,Tarefa 5,1255.2853980064392
2023-05-31,Tarefa 6,1418.2403881549835
2023-05-31,Tarefa 7,67.00238919258118
2023-05-31,Tarefa 8,736.9963936805725
2023-05-31,Tarefa 9,380.68353509902954
2023-05-31,Tarefa 10,343.77534580230713
2023-05-31,Tarefa 11,731.7286212444305
2023-06-01,Tarefa 1,730.2032351493835
2023-06-01,Tarefa 1,491.4435625076294
2023-06-01,Tarefa 2,258.6288049221039
2023-06-01,Tarefa 3,331.14540457725525
2023-06-01,Tarefa 4,84.05545330047607
2023-06-01,Tarefa 5,655.0943601131439
2023-06-01,Tarefa 6,273.08401226997375
2023-06-01,Tarefa 7,342.5627636909485
2023-06-01,Tarefa 7,942.5627636909485
2023-06-01,Tarefa 1,197.05371284484863
2023-06-01,Tarefa 2,129.7247166633606
2023-06-01,Tarefa 3,446.6516046524048
2023-06-01,Tarefa 4,808.6705441474915
2023-06-01,Tarefa 1,371.84151124954224
2023-06-01,Tarefa 2,570.2412407398224
2023-06-01,Tarefa 3,176.75124216079712
2023-06-02,Tarefa 4,120.1430099010468
2023-06-02,Tarefa 5,891.57142329216
2023-06-03,Tarefa 1,878.1958930492401
2023-07-03,Tarefa 1,800.0000
2023-06-04,Tarefa 1,2157.503348350525
2023-06-04,Tarefa 2,2743.4695494174957
2023-06-05,Tarefa 1,458.5270583629608
2023-06-05,Tarefa 1,7200.00
2023-06-05,Tarefa 1,561.7090566158295
2023-06-06,Tarefa 1,1028.4426052570343
2023-06-06,Tarefa 2,1042.7885701656342
2023-06-06,Tarefa 3,1042.788570165634
2023-06-06,Tarefa 1,399.6735954284668
2023-06-06,Tarefa 2,489.8424160480499
2023-06-06,Tarefa 3,429.8136785030365
2023-06-06,Tarefa 4,708.6320261955261
2023-06-06,Tarefa 5,556.969744682312
2023-06-06,Tarefa 6,128.86232233047485
2023-06-06,Tarefa 7,347.29493260383606
2023-06-06,Tarefa 8,713.9101541042328
2023-06-06,Tarefa 1,2625.980550765991
2023-06-06,Tarefa 1,3600.00000
2023-06-06,Tarefa 1,351.0181624889374
2023-06-06,Tarefa 1,175.64396572113037
2023-06-06,Tarefa 2,1709.477599143982
2023-06-06,Tarefa 1,359.3078224658966
2023-06-06,Tarefa 1,500.3078224658966
2023-06-06,Tarefa 1,457.0640287399292
2023-06-06,Tarefa 1,171.6225507259369
2023-06-06,Tarefa 1,440.3711795806885
2023-06-06,Tarefa 2,1990.48890542984
2023-06-06,Tarefa 3,1398.5071849822998
2023-06-06,Tarefa 4,141.68792366981506
2023-06-06,Tarefa 5,686.7903292179108
2023-06-06,Tarefa 6,1340.8277883529663
2023-06-06,Tarefa 7,195.40194725990295
2023-06-06,Tarefa 8,135.86122632026672
2023-06-11,Tarefa 1,466.7162275314331
2023-06-11,Tarefa 2,598.4060583114624
2023-06-11,Tarefa 1,205.98146510124207
2023-06-11,Tarefa 1,56.5859112739563
2023-06-11,Tarefa 2,702.1585021018982
2023-06-11,Tarefa 1,272.33127093315125
2023-06-11,Tarefa 1,119.01366448402405
2023-06-11,Tarefa 1,268.5064995288849
2023-06-13,Tarefa 1,338.83990120887756
2023-06-13,Tarefa 1,307.9414873123169
2023-06-13,Tarefa 2,69.75043606758118
2023-06-13,Tarefa 3,526.1773133277893
2023-06-13,Tarefa 4,822.5767941474915
2023-06-13,Tarefa 1,244.57358956336975
2023-06-13,Tarefa 2,141.48677706718445
2023-06-13,Tarefa 3,26.476102590560913
2023-06-13,Tarefa 4,356.55621433258057
2023-06-13,Tarefa 5,3461.759154319763
2023-06-13,Tarefa 6,271.046156167984
2023-06-13,Tarefa 7,2347.926960706711
